timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630089900,Aug 27 2021 - 6:45pm,complete,11214.0,Hellas Verona,Inter Milan,Gianluca Manganiello,2,0.0,0.0,1.58,2.05,1,3,4,1,1,0,15,"47,83,90'4",6,4,2,0,2,0,1,1,0,2,8,17,2,10,6,7,13,12,43,57,1.72,0.0,0.94,1.99,2.5,50,50,50,50,50,0,50,50,50,7.0,3.0,6.0,4.15,1.61,1.27,1.74,2.7,4.8,1.8,2.05,Stadio Marc'Antonio Bentegodi (Verona)
1630168200,Aug 28 2021 - 4:30pm,complete,7912.0,Atalanta,Bologna,Daniele Orsato,2,0.0,0.0,1.05,0.95,0,0,0,0,0,0,0,0,5,5,2,0,5,0,1,1,1,4,23,5,4,2,19,3,12,14,59,41,0.0,0.0,2.36,0.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.36,5.75,8.25,1.16,1.43,2.0,3.25,1.67,2.3,Gewiss Stadium (Bergamo)
1630168200,Aug 28 2021 - 4:30pm,complete,0.0,Lazio,Spezia,Federico Dionisi,2,0.0,1.0,1.89,0.95,6,1,7,4,3,1,"5,15,45'2,47,70,85",4,4,2,0,0,2,1,0,0,1,2,20,4,11,2,9,2,12,7,61,39,0.0,1.73,2.26,0.5,2.0,50,50,50,50,0,0,50,50,50,4.0,3.0,1.33,5.75,10.0,1.21,1.56,2.35,4.1,1.95,1.91,Stadio Olimpico (Roma)
1630176300,Aug 28 2021 - 6:45pm,complete,0.0,Fiorentina,Torino,Maurizio Mariani,2,0.0,0.0,2.16,1.11,2,1,3,1,1,0,"41,69",89,3,3,4,0,5,0,2,2,2,3,11,6,7,3,4,3,12,29,58,42,0.0,0.0,1.47,0.82,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.95,3.7,4.05,1.26,1.71,2.7,5.25,1.74,2.15,Stadio Artemio Franchi (Firenze)
1630176300,Aug 28 2021 - 6:45pm,complete,0.0,Juventus,Empoli,Davide Ghersini,2,0.0,0.0,1.84,1.26,0,1,1,1,0,1,0,21,8,9,2,0,3,0,0,2,2,1,19,6,6,4,13,2,9,7,55,45,0.0,0.0,2.08,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.29,6.5,10.25,1.18,1.48,2.15,3.65,1.91,2.0,Allianz Stadium (Torino)
1630254600,Aug 29 2021 - 4:30pm,complete,0.0,Genoa,Napoli,Marco Di Bello,2,0.0,0.0,0.89,2.26,1,2,3,1,0,1,69,"39,84",4,5,2,0,3,0,1,1,1,2,8,15,5,9,3,6,17,15,39,61,0.0,0.0,1.07,1.94,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.25,4.05,1.61,1.32,1.87,3.05,5.75,2.0,1.91,Stadio Comunale Luigi Ferraris (Genova)
1630254600,Aug 29 2021 - 4:30pm,complete,0.0,Sassuolo,Sampdoria,Juan Luca Sacchi,2,0.0,0.0,1.26,0.79,0,0,0,0,0,0,0,0,8,6,2,0,2,0,0,2,1,1,19,11,5,3,14,8,7,15,63,37,0.0,0.0,1.98,1.29,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2,3.45,3.45,1.25,1.69,2.6,4.45,1.57,2.5,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia)
1630262700,Aug 29 2021 - 6:45pm,complete,0.0,AC Milan,Cagliari,Marco Serra,2,0.0,0.0,2.11,0.79,4,1,5,5,4,1,"12,17,24,43",15,8,3,1,0,5,0,0,1,3,2,21,8,6,3,15,5,13,11,57,43,0.0,0.0,2.21,0.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.49,4.55,7.25,1.27,1.71,2.7,4.75,1.87,2.0,Stadio Giuseppe Meazza (Milano)
1630262700,Aug 29 2021 - 6:45pm,complete,0.0,Salernitana,Roma,Rosario Abisso,2,0.0,0.0,0.79,1.42,0,4,4,0,0,0,0,"48,52,69,79",1,10,2,0,2,0,1,1,1,1,6,28,0,11,6,17,12,13,20,80,0.0,0.0,0.51,3.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,4.45,1.51,1.26,1.71,2.7,4.95,1.91,2.0,Stadio Arechi (Salerno)
1631365200,Sep 11 2021 - 1:00pm,complete,0.0,Empoli,Venezia,Antonio Rapuano,3,0.0,0.0,0.89,0.68,1,2,3,1,0,1,89,"13,68",8,2,2,0,5,0,2,0,3,2,23,11,8,4,15,7,12,20,68,32,1.79,1.34,2.63,1.17,3.25,50,100,75,50,0,50,75,50,50,7.0,7.0,1.74,4.05,4.65,1.25,1.67,2.65,4.6,1.71,2.2,Stadio Carlo Castellani (Empoli)
